source_well_content,source_well,source_well_concentration,source_plate_size,volume_to_transfer,source_plate_name,source_plate_type,destination_plate_name,destination_plate_type,destination_plate_size
A_S13,D1,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S12,G1,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S11,A2,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S10,H2,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S17,C3,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S16,F3,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S15,B4,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S14,H4,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S21,B5,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S20,E5,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S19,D6,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S18,E6,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S25,A7,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S24,E7,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S23,B8,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S22,E8,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S37,A9,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S36,G9,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S35,A10,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S34,E10,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S41,C11,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S40,E11,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S39,C12,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
A_S38,F12,,96,40,Source1,4ti-0960/B on CPAC,Destination,4ti-0960/B raised,96
